Title,Sku,Type,Update Barcode
air conditioner,ac56,No Variants,985689546221
basketball,ball78,No Variants,576788993822
bike,bike12,No Variants,147890246788
bikes,bikes07,No Variants,655768845891
books,ha2,No Variants,567894321234
camera,cam13,No Variants,874458569033
chocolate,kit12,No Variants,198765432003
computer,computer81,No Variants,678845920915
dress,dress18,No Variants,784562348762
dummy chairs,dummy-1,No Variants,12345678950
earphone,ear3,No Variants,156789043223
fghj,abc123,No Variants,456789012350
football,foo2,No Variants,456789213085
gdfshgfh,ced-36156498252,No Variants,
Hand bag,bag23,No Variants,
hat,ha3,No Variants,
hero,abc1212,No Variants,
ladies suits,suit15,No Variants,
lancer_shoes_check,ced-36156498252588_check,No Variants,
laptop,lap45,No Variants,
Led tv,tv1,No Variants,
lens,lens12,No Variants,
lunchbox,lunch35,No Variants,
memory card,mem11,No Variants,
Mobile,13,No Variants,
new rabbit,sku-12324,No Variants,5855555
notebooks,notebook34,No Variants,
Pen,pen1,No Variants,
pen drive,pd12,No Variants,
producttest1,ced-36387373004,No Variants,
producttest2,ced-36387454412,No Variants,14523698547
producttest3,producttest3,No Variants,
producttest4,producttest4,No Variants,14523698745
puma_watch,puma_watch,No Variants,1111123145
rtrt,erer,No Variants,
samsung,sam2,No Variants,
samsung mobile,mobile33,No Variants,
sandals,sandal34,No Variants,
shirt3,sh3,No Variants,456789321407
Shirts,shirt99,No Variants,345667757714
Shirts2,shirt21,No Variants,123456789432
simple_14,simple_14,No Variants,1452369854712
spectacles3,spec2,No Variants,12345689011
split ac,ac2,No Variants,
Suziki Bike,suz12,No Variants,
test hidden product,testhiddenproduct,No Variants,
test1_simple,test_990,No Variants,
test545,test545,No Variants,
test677,test677,No Variants,8786564321234
testhiddenproduct2,walmarttest,No Variants,
Testing2600,630509453122,No Variants,987875878768
testproduct134222,testproduct1341,No Variants,556644118823
testsimple123,630509503483,No Variants,8789654321
testwapper,wapper,No Variants,
tshirt1,te1,No Variants,
tsrtsts57578,93,No Variants,758578575778
vari_test,vari_test126,No Variants,159874562568
women watches,watch91,No Variants,566734987869
wrisht watch111,wrisht-412,No Variants,5685695362
sunglass,glass123,No Variants,
fan,abc123456,No Variants,
puma_tees-test hdhdfhdgf,pumateestest,No Variants,9668954858555
Import test1,Importtest1,No Variants,785414589647
2866,iuyiyuiu1,Variants,
2866,iuyiyuiu2,Variants,
2866,iuyiyuiu3,Variants,
bats3,iuyiyuiu1,Variants,
bats3,iuyiyuiu2,Variants,
bats3,iuyiyuiu3,Variants,
ced-34722028940ssss,iuyiyuiu1,Variants,
ced-34722028940ssss,iuyiyuiu2,Variants,
ced-34722028940ssss,iuyiyuiu3,Variants,
import test2,iuyiyuiu1,Variants,
import test2,iuyiyuiu2,Variants,
import test2,iuyiyuiu3,Variants,
jeans2,iuyiyuiu1,Variants,
jeans2,iuyiyuiu2,Variants,
jeans2,iuyiyuiu3,Variants,
levis_jeans watch,iuyiyuiu1,Variants,
levis_jeans watch,iuyiyuiu2,Variants,
levis_jeans watch,iuyiyuiu3,Variants,
men's snowboard1,iuyiyuiu1,Variants,
men's snowboard1,iuyiyuiu2,Variants,
men's snowboard1,iuyiyuiu3,Variants,
moto1,iuyiyuiu1,Variants,
moto1,iuyiyuiu2,Variants,
moto1,iuyiyuiu3,Variants,
neweggVariantsProduct,iuyiyuiu1,Variants,
neweggVariantsProduct,iuyiyuiu2,Variants,
neweggVariantsProduct,iuyiyuiu3,Variants,
newestproduct,cxczx,No Variants,234 567890675
newtestvariant,iuyiyuiu1,Variants,
newtestvariant,iuyiyuiu2,Variants,
newtestvariant,iuyiyuiu3,Variants,
pens12,iuyiyuiu1,Variants,
pens12,iuyiyuiu2,Variants,
pens12,iuyiyuiu3,Variants,
product001,iuyiyuiu1,Variants,
product001,iuyiyuiu2,Variants,
product001,iuyiyuiu3,Variants,
puma tshirt,iuyiyuiu1,Parent,
puma tshirt,iuyiyuiu2,Variants,
puma tshirt,iuyiyuiu3,Variants,
puma_sling_bags,iuyiyuiu1,Variants,
